Signature,Block Time,Human Time,Action,From,Token1,Amount1,TokenDecimals1,Token2,Amount2,TokenDecimals2,Value,Programs,Token1Multiplier,Token2Multiplier
3xeiUU8kQtepcVBPzwPJoJX6h5mP4smzaMR8gJZaLtWtSyE4YZxRM7A9hLk8yiobotXFtnGP8UZao9pqzVKJbdDZ,1782757130,2026-06-29T18:18:50.000Z,ACTIVITY_TOKEN_SWAP,C9WzXvWKwC1tHAy7MhfNc7fjdjonGHwpT4PztmX71QbV,So11111111111111111111111111111111111111112,28768000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,60612951048,9,2.1677,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
65js1qXwcdFRNTceveE922z48z6fTgkRTzCe9j9vPyVgzHAfzcePn6J4H6rZfUZwsy4UxszkMTNRAcSs8KbYCtNk,1782757130,2026-06-29T18:18:50.000Z,ACTIVITY_TOKEN_SWAP,8p8YEbGwUh5wmGrqoPtCQwGPmnPvUT6qqJQqnDEdZ8i2,So11111111111111111111111111111111111111112,29757000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62691944055,9,2.2422,proVF4pMXVaYqmy4NjniPh4pqKNfMmsihgd4wdkCX3u||ALPHAQmeA7bjrVuccPsYPiCvsi428SNwte66Srvs4pHA|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
4NpKfiqKZePxUopkq1YZRTsWQ1as95jJmxWCw9yYKophstfRPj7rhvRVcKdJs4T1XpUu8tzYSL6tQAZuZaXVZAcG,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,NZKMcbRLgkiZhebMDZXen7e9nBDMJ6VpvcFVTiachgU,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62612783216,9,2.2585,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
36vxSpv3AJLiffJu2J3rf6c8jbeP6FoXDW4avg9ejprAEMxkRkpZiF5C38ThSKCvWDUPJkVATvzHNqiNGn27WVyV,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,65D9J7ujcQHoT9qcwrWmGCNsdPdvK1by4nEmujkXN64s,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62713230769,9,2.2585,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||HpNfyc2Saw7RKkQd8nEL4khUcuPhQ7WwY1B2qjx8jxFq|BiSoNHVpsVZW2F7rx2eQ59yQwKxzU5NvBcmKshCSUypi|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
Dog9sa3BQfqaP3RmkAThR9rcQyQKkciTD9WFpAXyBAHhHmThLLCaiwBmt2aZu42rJ1o1nqx7AbJjGTibfLEVQFF,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,4StfcR8RPCRcozCDFhVw4TgcUmMVmsoj88t1T9ompSuj,So11111111111111111111111111111111111111112,29000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,60454097902,9,2.1832,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
62AFDmHphrZhNrv3sXDdvj5nZ28EWd6ttXGjyWQSEhyXtRBWKVfV2mXLt1foWaFtPYme4vtqtK77c7t2S4MNGpzQ,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,6euaHV2KSw1K3KfTbYHVMffU8gYK8ctiYAVSVZ8VSePG,So11111111111111111111111111111111111111112,32000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,66751944055,9,2.4091,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
58QB8K9k88d8Aww62sg1ut2BJ7VTqZTCZeTAPzs3GfpURSxaCsg1yj25oXKcYQGjXRRPcsHM4zmrYHuDgUwgkPbN,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,3pXYxojJy51rfMcTM3gFMkL6frT5M5b2r2JXCmQM4tKa,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62606517482,9,2.2585,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
2W9zXrgpgCaiZgDGSwHJqMg8HDXDBpm42ujy6DgwP26384R5LKr8jvCr8mWdjnXkExPbxMivADUFfj8iV49S4T85,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,APW7c31eykx6J7exnDhRd7oNB1DU8JZ9crAvjnYuZnkh,So11111111111111111111111111111111111111112,32736000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,68973454545,9,2.4645,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
4REv4fEYcat9ysM1rDN8H2bnKASsGeaUVNa8QfjZsL7HsaiMLNMrdQeCVB2q2BbzwaCFCam2ECd7WF9VU8yVwrHH,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,DUpVsvL7ArgZ8mH9DXzSrTViK8m55CJgUYYtLUNVivYe,So11111111111111111111111111111111111111112,30752000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,64797426573,9,2.3141,DF1ow4tspfHX9JwWJsAb9epbkA8hmpSEAtxXy1V27QBH||DRVSpZ2YUYYKgZP8XtLhAGtT1zYSCKzeHfb4DgRnrgqD|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
5DSvtFGSjnvysgTQYRWgYVT8LvCwpMJsUAwYwwD44Y2jMuHznQ6qT9LAKyK6AfUcTvQmasjp3NDEHD2Y2jpkqti3,1782757129,2026-06-29T18:18:49.000Z,ACTIVITY_TOKEN_SWAP,7poUCjy177AhmX8KjM1DmGdMS36MdPfr4LQLi55kPbni,So11111111111111111111111111111111111111112,30000000,9,6VdVk3ngmTDBrZDgHCWE3U1VmKFmFTh5mnN43LJQeE9U,62519720279,9,2.2575,T1TANpTeScyeqVzzgNViGDNrkQ6qHz9KrSBS4aNXvGT||whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc|LBUZKhRxPF3XUpBCjp4YzTKgLccjZhTSDM9YuVaPwxo|675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8|MNFSTqtC93rEfYHB6hF82sKdZpUDFWkViLByLd1k1Ms,1.0,1.0
